Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
CUST_00032,Blue,250,0,82,01-01-2023,Week-1,Q1,2023,1438.3,811,2336,46,0.564,Chip ,Fuel,630.72,0
CUST_00034,Blue,110,1,131,01-01-2023,Week-1,Q1,2023,3031.0,2517,2188,50,0.83,Swipe ,Bills,350.08,1
CUST_00036,Blue,150,1,99,01-01-2023,Week-1,Q1,2023,6629.0,1389,3891,69,0.21,Swipe ,Fuel,466.92,0
CUST_00037,Blue,420,0,88,01-01-2023,Week-1,Q1,2023,3250.0,1992,1355,36,0.613,Swipe ,Entertainment,189.7,1
CUST_00038,Platinum,470,0,158,01-01-2023,Week-1,Q1,2023,34516.0,638,13085,139,0.018,Swipe ,Bills,2355.3,0
CUST_00040,Blue,100,1,104,01-01-2023,Week-1,Q1,2023,1864.0,1081,2607,44,0.58,Swipe ,Fuel,312.84,0
CUST_00042,Blue,175,1,69,01-01-2023,Week-1,Q1,2023,5535.0,1276,1764,38,0.231,Swipe ,Fuel,194.04,0
CUST_00046,Blue,110,1,74,01-01-2023,Week-1,Q1,2023,3178.0,1118,2010,31,0.352,Swipe ,Bills,180.9,0
CUST_00047,Blue,195,1,102,01-01-2023,Week-1,Q1,2023,1819.0,725,2254,45,0.399,Swipe ,Bills,270.48,0
CUST_00048,Blue,175,0,113,01-01-2023,Week-1,Q1,2023,2920.0,2426,2750,41,0.831,Swipe ,Food,632.5,0
CUST_00049,Blue,340,0,148,01-01-2023,Week-1,Q1,2023,14480.0,0,1616,43,0.0,Online ,Entertainment,387.84,0
CUST_00051,Blue,225,0,111,01-01-2023,Week-1,Q1,2023,30543.0,264,7784,63,0.009,Online ,Food,622.72,1
CUST_00058,Blue,300,1,93,01-01-2023,Week-1,Q1,2023,4088.0,1557,2250,39,0.381,Swipe ,Bills,157.5,1
CUST_00059,Blue,475,0,96,01-01-2023,Week-1,Q1,2023,14035.0,2061,1606,30,0.147,Swipe ,Bills,385.44,1
CUST_00060,Blue,300,1,95,01-01-2023,Week-1,Q1,2023,9959.0,1143,7300,77,0.115,Swipe ,Grocery,803.0,1
CUST_00062,Blue,125,1,109,01-01-2023,Week-1,Q1,2023,2310.0,1513,4191,77,0.655,Chip ,Food,712.47,0
CUST_00064,Blue,430,1,105,01-01-2023,Week-1,Q1,2023,2228.0,1480,4431,71,0.664,Swipe ,Grocery,841.89,0
CUST_00066,Gold,415,0,96,01-01-2023,Week-1,Q1,2023,34516.0,831,13247,107,0.024,Swipe ,Food,1192.23,0
CUST_00069,Blue,200,0,88,01-01-2023,Week-1,Q1,2023,2239.0,1340,4540,73,0.598,Chip ,Entertainment,635.6,0
CUST_00071,Blue,95,0,73,01-01-2023,Week-1,Q1,2023,2972.0,0,922,25,0.0,Swipe ,Bills,138.3,0
CUST_00074,Blue,405,1,91,01-01-2023,Week-1,Q1,2023,2793.0,1517,3485,72,0.543,Swipe ,Food,383.35,0
CUST_00077,Blue,300,1,92,01-01-2023,Week-1,Q1,2023,4844.0,1576,1489,48,0.325,Swipe ,Fuel,253.13,0
CUST_00080,Blue,325,1,73,01-01-2023,Week-1,Q1,2023,2968.0,1873,5171,85,0.631,Swipe ,Fuel,1241.04,0
CUST_00081,Blue,200,0,110,01-01-2023,Week-1,Q1,2023,3761.0,1710,3240,65,0.455,Swipe ,Fuel,550.8,0
CUST_00082,Blue,150,1,86,01-01-2023,Week-1,Q1,2023,2057.0,1279,4321,76,0.622,Chip ,Food,1123.46,0
CUST_00085,Blue,335,1,102,01-01-2023,Week-1,Q1,2023,2029.0,1377,4014,86,0.679,Chip ,Entertainment,1003.5,0
CUST_00088,Blue,355,1,112,01-01-2023,Week-1,Q1,2023,34516.0,0,3734,80,0.0,Swipe ,Fuel,522.76,0
CUST_00089,Blue,375,0,91,01-01-2023,Week-1,Q1,2023,1760.0,0,1554,35,0.0,Swipe ,Bills,279.72,0
CUST_00093,Blue,360,1,118,01-01-2023,Week-1,Q1,2023,5639.0,1547,647,15,0.274,Swipe ,Bills,135.87,1
CUST_00094,Silver,355,1,109,01-01-2023,Week-1,Q1,2023,13608.0,1190,3118,76,0.087,Chip ,Entertainment,841.86,1
CUST_00096,Blue,150,1,59,01-01-2023,Week-1,Q1,2023,27389.0,1250,2754,60,0.046,Online ,Bills,247.86,1
CUST_00097,Blue,250,0,106,01-01-2023,Week-1,Q1,2023,3549.0,1880,1215,22,0.53,Swipe ,Travel,230.85,1
CUST_00100,Blue,245,0,110,01-01-2023,Week-1,Q1,2023,7882.0,605,704,16,0.077,Swipe ,Travel,197.12,1
CUST_00102,Blue,175,0,88,01-01-2023,Week-1,Q1,2023,1770.0,1706,4940,94,0.964,Swipe ,Grocery,1037.4,0
CUST_00103,Blue,345,0,89,01-01-2023,Week-1,Q1,2023,3086.0,0,4129,81,0.0,Swipe ,Food,371.61,0
CUST_00104,Blue,245,1,61,01-01-2023,Week-1,Q1,2023,2464.0,2116,2110,43,0.859,Swipe ,Food,274.3,0
CUST_00105,Blue,100,1,111,01-01-2023,Week-1,Q1,2023,5659.0,1393,1570,40,0.246,Swipe ,Fuel,298.3,0
CUST_00107,Blue,300,0,92,01-01-2023,Week-1,Q1,2023,4116.0,1473,8667,70,0.358,Online ,Travel,1820.07,0
CUST_00108,Blue,290,1,118,01-01-2023,Week-1,Q1,2023,1522.0,0,2241,36,0.0,Swipe ,Food,403.38,0
CUST_00109,Blue,290,1,70,01-01-2023,Week-1,Q1,2023,1548.0,0,4420,71,0.0,Chip ,Bills,707.2,0
CUST_00112,Blue,470,1,111,01-01-2023,Week-1,Q1,2023,3471.0,0,14381,115,0.0,Swipe ,Fuel,3163.82,0
CUST_00119,Blue,465,1,42,01-01-2023,Week-1,Q1,2023,2509.0,1144,1804,38,0.456,Swipe ,Grocery,378.84,0
CUST_00120,Blue,200,0,58,01-01-2023,Week-1,Q1,2023,14938.0,0,8192,80,0.0,Swipe ,Bills,491.52,0
CUST_00132,Blue,245,0,97,01-01-2023,Week-1,Q1,2023,2147.0,771,4631,76,0.359,Chip ,Bills,787.27,0
CUST_00133,Blue,245,1,93,01-01-2023,Week-1,Q1,2023,2292.0,0,2584,60,0.0,Swipe ,Bills,335.92,0
CUST_00136,Blue,245,1,88,01-01-2023,Week-1,Q1,2023,1561.0,0,1947,28,0.0,Swipe ,Bills,175.23,0
CUST_00145,Blue,395,1,68,01-01-2023,Week-1,Q1,2023,4549.0,1313,4782,88,0.289,Chip ,Fuel,1243.32,0
CUST_00150,Blue,245,0,93,01-01-2023,Week-1,Q1,2023,2845.0,1153,3730,66,0.405,Swipe ,Fuel,634.1,0
CUST_00158,Blue,225,1,115,01-01-2023,Week-1,Q1,2023,11789.0,1420,1463,32,0.12,Swipe ,Bills,365.75,0
CUST_00165,Blue,385,0,92,01-01-2023,Week-1,Q1,2023,3850.0,0,15107,117,0.0,Chip ,Entertainment,2417.12,1
CUST_00169,Blue,175,1,44,01-01-2023,Week-1,Q1,2023,10244.0,861,1127,29,0.084,Swipe ,Bills,202.86,0
CUST_00170,Blue,380,1,92,01-01-2023,Week-1,Q1,2023,5815.0,1698,1604,42,0.292,Swipe ,Entertainment,352.88,0
CUST_00173,Blue,325,0,105,01-01-2023,Week-1,Q1,2023,6680.0,1839,7632,95,0.275,Swipe ,Bills,1984.32,0
CUST_00178,Blue,460,0,95,01-01-2023,Week-1,Q1,2023,2163.0,932,2229,57,0.431,Swipe ,Bills,534.96,0
CUST_00181,Blue,395,0,83,01-01-2023,Week-1,Q1,2023,16547.0,1521,1782,48,0.092,Swipe ,Entertainment,267.3,0
CUST_00182,Blue,125,0,161,01-01-2023,Week-1,Q1,2023,2515.0,1922,2231,58,0.764,Swipe ,Bills,267.72,0
CUST_00186,Blue,375,1,107,01-01-2023,Week-1,Q1,2023,1902.0,0,3731,53,0.0,Swipe ,Fuel,559.65,0
CUST_00197,Blue,300,1,81,08-01-2023,Week-2,Q1,2023,4905.0,2413,15478,109,0.492,Swipe ,Food,3714.72,0
CUST_00200,Blue,420,0,78,08-01-2023,Week-2,Q1,2023,3809.0,1172,4314,81,0.308,Swipe ,Food,301.98,0
CUST_00210,Blue,190,1,100,08-01-2023,Week-2,Q1,2023,2904.0,2517,2653,46,0.867,Swipe ,Entertainment,583.66,0
CUST_00211,Blue,125,1,51,08-01-2023,Week-2,Q1,2023,3862.0,0,4058,81,0.0,Chip ,Fuel,243.48,0
CUST_00212,Blue,395,1,92,08-01-2023,Week-2,Q1,2023,19897.0,2232,3979,63,0.112,Chip ,Entertainment,1034.54,0
CUST_00213,Blue,200,0,74,08-01-2023,Week-2,Q1,2023,2495.0,2061,4399,70,0.826,Swipe ,Entertainment,659.85,0
CUST_00215,Blue,150,1,105,08-01-2023,Week-2,Q1,2023,1438.3,986,5136,81,0.686,Swipe ,Entertainment,1027.2,0
CUST_00218,Blue,425,0,147,08-01-2023,Week-2,Q1,2023,2148.0,1103,4711,64,0.514,Swipe ,Food,1366.19,0
CUST_00222,Blue,460,0,52,08-01-2023,Week-2,Q1,2023,1770.0,584,4442,83,0.33,Chip ,Bills,310.94,0
CUST_00223,Blue,460,1,94,08-01-2023,Week-2,Q1,2023,3714.0,2517,4715,85,0.678,Chip ,Bills,1037.3,0
CUST_00230,Blue,455,1,110,08-01-2023,Week-2,Q1,2023,2637.0,1272,1569,39,0.482,Swipe ,Travel,156.9,0
CUST_00231,Gold,275,1,92,08-01-2023,Week-2,Q1,2023,23981.0,1788,1421,34,0.075,Swipe ,Bills,85.26,0
CUST_00234,Blue,395,0,82,08-01-2023,Week-2,Q1,2023,3111.0,2517,2367,41,0.809,Chip ,Fuel,639.09,0
CUST_00240,Blue,200,0,51,08-01-2023,Week-2,Q1,2023,2858.0,1251,2844,73,0.438,Swipe ,Grocery,170.64,0
CUST_00246,Blue,500,1,99,08-01-2023,Week-2,Q1,2023,1960.0,1690,3870,67,0.862,Chip ,Grocery,580.5,1
CUST_00248,Blue,100,1,113,08-01-2023,Week-2,Q1,2023,4369.0,2049,3259,80,0.469,Swipe ,Fuel,358.49,1
CUST_00249,Blue,125,1,59,08-01-2023,Week-2,Q1,2023,6053.0,2001,2208,59,0.331,Swipe ,Bills,441.6,1
CUST_00252,Blue,475,0,84,08-01-2023,Week-2,Q1,2023,5242.0,1465,4098,68,0.279,Swipe ,Fuel,1147.44,0
CUST_00253,Blue,245,0,78,08-01-2023,Week-2,Q1,2023,11336.0,0,1809,39,0.0,Swipe ,Bills,452.25,0
CUST_00258,Blue,450,1,120,08-01-2023,Week-2,Q1,2023,17116.0,1289,3632,50,0.075,Swipe ,Grocery,726.4,0
CUST_00260,Blue,350,0,117,08-01-2023,Week-2,Q1,2023,2043.0,1928,2311,57,0.944,Swipe ,Bills,462.2,0
CUST_00262,Blue,225,1,51,08-01-2023,Week-2,Q1,2023,6114.0,1461,2608,36,0.239,Swipe ,Entertainment,443.36,0
CUST_00264,Blue,125,1,120,08-01-2023,Week-2,Q1,2023,5267.0,0,1353,24,0.0,Swipe ,Entertainment,392.37,0
CUST_00266,Blue,480,1,95,08-01-2023,Week-2,Q1,2023,1737.0,1689,2459,43,0.972,Swipe ,Grocery,516.39,0
CUST_00268,Blue,455,1,48,08-01-2023,Week-2,Q1,2023,14270.0,0,1222,37,0.0,Swipe ,Fuel,73.32,0
CUST_00275,Blue,125,1,56,08-01-2023,Week-2,Q1,2023,34516.0,2517,3990,65,0.073,Swipe ,Food,598.5,0
CUST_00287,Blue,100,0,140,08-01-2023,Week-2,Q1,2023,34516.0,2156,8766,78,0.062,Online ,Bills,1753.2,0
CUST_00291,Blue,110,0,89,08-01-2023,Week-2,Q1,2023,2045.0,1707,2183,39,0.835,Swipe ,Entertainment,480.26,0
CUST_00292,Blue,200,1,147,08-01-2023,Week-2,Q1,2023,2804.0,2090,2812,77,0.745,Swipe ,Fuel,731.12,0
CUST_00293,Blue,270,1,124,08-01-2023,Week-2,Q1,2023,1584.0,1214,2628,41,0.766,Online ,Bills,341.64,0
CUST_00294,Blue,110,1,99,08-01-2023,Week-2,Q1,2023,2809.0,0,2466,40,0.0,Chip ,Grocery,320.58,0
CUST_00296,Blue,190,1,96,08-01-2023,Week-2,Q1,2023,2422.0,502,2548,46,0.207,Chip ,Bills,662.48,0
CUST_00304,Blue,245,0,103,08-01-2023,Week-2,Q1,2023,3413.0,1715,3843,67,0.502,Swipe ,Bills,807.03,0
CUST_00305,Blue,430,1,60,08-01-2023,Week-2,Q1,2023,2262.0,0,4113,83,0.0,Chip ,Entertainment,246.78,0
CUST_00312,Blue,280,0,105,08-01-2023,Week-2,Q1,2023,4112.0,0,2949,54,0.0,Swipe ,Bills,235.92,0
CUST_00316,Blue,250,1,80,08-01-2023,Week-2,Q1,2023,3498.0,0,2512,56,0.0,Swipe ,Bills,602.88,0
CUST_00317,Blue,200,0,163,08-01-2023,Week-2,Q1,2023,9875.0,1239,8920,105,0.125,Swipe ,Bills,2586.8,0
CUST_00319,Blue,250,0,117,08-01-2023,Week-2,Q1,2023,2827.0,1182,4583,72,0.418,Chip ,Bills,366.64,0
CUST_00320,Blue,150,1,115,08-01-2023,Week-2,Q1,2023,2485.0,1489,3697,77,0.599,Swipe ,Fuel,702.43,0
CUST_00322,Blue,280,1,102,08-01-2023,Week-2,Q1,2023,4207.0,0,15124,108,0.0,Chip ,Travel,1814.88,0
CUST_00324,Blue,200,0,78,08-01-2023,Week-2,Q1,2023,8279.0,1582,4419,63,0.191,Swipe ,Food,883.8,0
CUST_00331,Blue,450,1,83,08-01-2023,Week-2,Q1,2023,5774.0,1519,4444,70,0.263,Chip ,Bills,488.84,0
CUST_00333,Blue,285,0,73,08-01-2023,Week-2,Q1,2023,2723.0,1588,4307,83,0.583,Swipe ,Fuel,818.33,0
CUST_00334,Blue,360,1,112,08-01-2023,Week-2,Q1,2023,18064.0,2039,4435,88,0.113,Swipe ,Entertainment,975.7,0
CUST_00335,Blue,175,0,85,08-01-2023,Week-2,Q1,2023,6167.0,0,1648,43,0.0,Swipe ,Fuel,412.0,0
CUST_00336,Blue,245,1,64,08-01-2023,Week-2,Q1,2023,6748.0,1467,1201,42,0.217,Swipe ,Bills,216.18,0
CUST_00338,Blue,195,1,96,08-01-2023,Week-2,Q1,2023,2533.0,2136,3197,50,0.843,Chip ,Entertainment,287.73,0
CUST_00347,Blue,460,1,85,08-01-2023,Week-2,Q1,2023,10360.0,2517,2414,28,0.243,Chip ,Bills,386.24,0
CUST_00348,Blue,100,1,149,08-01-2023,Week-2,Q1,2023,12702.0,2008,1992,40,0.158,Swipe ,Fuel,577.68,0
CUST_00350,Silver,445,1,106,08-01-2023,Week-2,Q1,2023,6509.0,2033,1409,37,0.312,Swipe ,Bills,239.53,0
CUST_00351,Blue,415,1,57,08-01-2023,Week-2,Q1,2023,21756.0,0,3063,71,0.0,Swipe ,Bills,735.12,0
CUST_00354,Blue,175,0,40,08-01-2023,Week-2,Q1,2023,13399.0,2505,1326,31,0.187,Swipe ,Bills,371.28,0
CUST_00355,Silver,175,0,116,08-01-2023,Week-2,Q1,2023,19713.0,531,8301,70,0.027,Chip ,Travel,1328.16,0
CUST_00361,Blue,245,0,75,08-01-2023,Week-2,Q1,2023,6062.0,761,3877,66,0.126,Swipe ,Bills,542.78,0
CUST_00368,Blue,140,0,157,08-01-2023,Week-2,Q1,2023,3307.0,2234,4006,68,0.676,Chip ,Bills,1121.68,0
CUST_00373,Blue,485,1,77,08-01-2023,Week-2,Q1,2023,6361.0,694,1499,31,0.109,Swipe ,Bills,344.77,0
CUST_00374,Blue,150,1,112,08-01-2023,Week-2,Q1,2023,4068.0,0,5161,83,0.0,Chip ,Entertainment,1135.42,0
CUST_00377,Blue,335,1,86,08-01-2023,Week-2,Q1,2023,4196.0,1331,14545,116,0.317,Chip ,Bills,1890.85,0
CUST_00380,Blue,440,1,77,08-01-2023,Week-2,Q1,2023,23209.0,1308,3530,71,0.056,Swipe ,Grocery,776.6,0
CUST_00382,Silver,250,1,101,08-01-2023,Week-2,Q1,2023,28701.0,0,3516,57,0.0,Swipe ,Entertainment,597.72,0
CUST_00386,Blue,175,1,85,08-01-2023,Week-2,Q1,2023,11343.0,0,8027,94,0.0,Swipe ,Food,1123.78,0
CUST_00389,Blue,245,1,79,08-01-2023,Week-2,Q1,2023,3970.0,892,13697,102,0.225,Chip ,Travel,2602.43,0
CUST_00394,Blue,370,0,116,15-01-2023,Week-3,Q1,2023,2717.0,0,3150,59,0.0,Swipe ,Bills,630.0,0
CUST_00395,Blue,250,1,159,15-01-2023,Week-3,Q1,2023,3022.0,895,2724,38,0.296,Swipe ,Entertainment,572.04,0
CUST_00400,Blue,395,1,77,15-01-2023,Week-3,Q1,2023,2925.0,2365,1371,30,0.809,Swipe ,Entertainment,342.75,1
CUST_00401,Blue,175,0,92,15-01-2023,Week-3,Q1,2023,1621.0,787,4719,73,0.486,Swipe ,Entertainment,1038.18,1
CUST_00403,Blue,100,1,54,15-01-2023,Week-3,Q1,2023,13169.0,1499,4370,83,0.114,Swipe ,Fuel,874.0,1
CUST_00404,Blue,220,1,110,15-01-2023,Week-3,Q1,2023,12856.0,0,3364,61,0.0,Swipe ,Grocery,908.28,1
CUST_00409,Blue,195,0,93,15-01-2023,Week-3,Q1,2023,3601.0,1236,1802,34,0.343,Online ,Grocery,108.12,1
CUST_00411,Blue,345,1,51,15-01-2023,Week-3,Q1,2023,11851.0,0,4498,73,0.0,Swipe ,Entertainment,674.7,0
CUST_00412,Blue,290,0,157,15-01-2023,Week-3,Q1,2023,1959.0,662,3046,52,0.338,Swipe ,Bills,883.34,0
CUST_00417,Blue,490,0,86,15-01-2023,Week-3,Q1,2023,2533.0,0,5128,74,0.0,Swipe ,Entertainment,512.8,0
CUST_00419,Blue,200,1,111,15-01-2023,Week-3,Q1,2023,2001.0,1366,4590,66,0.683,Swipe ,Grocery,872.1,0
CUST_00428,Blue,455,0,80,15-01-2023,Week-3,Q1,2023,3212.0,0,757,20,0.0,Swipe ,Bills,196.82,0
CUST_00430,Blue,400,0,151,15-01-2023,Week-3,Q1,2023,9389.0,727,3415,84,0.077,Swipe ,Bills,512.25,0
CUST_00433,Blue,100,0,105,15-01-2023,Week-3,Q1,2023,3310.0,0,14542,89,0.0,Chip ,Food,1308.78,0
CUST_00434,Blue,285,0,119,15-01-2023,Week-3,Q1,2023,3471.0,1785,1052,24,0.514,Swipe ,Bills,241.96,0
CUST_00439,Silver,340,1,106,15-01-2023,Week-3,Q1,2023,18142.0,0,15427,95,0.0,Chip ,Travel,1851.24,0
CUST_00440,Blue,365,0,120,15-01-2023,Week-3,Q1,2023,8958.0,0,2131,43,0.0,Swipe ,Entertainment,554.06,0
CUST_00441,Blue,400,0,75,15-01-2023,Week-3,Q1,2023,4185.0,2517,2179,55,0.601,Swipe ,Bills,174.32,0
CUST_00446,Blue,245,1,105,15-01-2023,Week-3,Q1,2023,10417.0,2290,4871,75,0.22,Swipe ,Bills,1217.75,0
CUST_00448,Blue,125,0,98,15-01-2023,Week-3,Q1,2023,3255.0,603,4045,62,0.185,Chip ,Fuel,1132.6,0
CUST_00450,Blue,300,0,55,15-01-2023,Week-3,Q1,2023,10651.0,672,2073,54,0.063,Swipe ,Entertainment,228.03,0
CUST_00451,Blue,280,1,79,15-01-2023,Week-3,Q1,2023,18734.0,0,2112,52,0.0,Chip ,Bills,337.92,0
CUST_00454,Blue,150,1,137,15-01-2023,Week-3,Q1,2023,1655.0,0,4621,67,0.0,Swipe ,Fuel,877.99,0
CUST_00456,Gold,320,1,75,15-01-2023,Week-3,Q1,2023,15594.0,1690,16101,127,0.108,Chip ,Entertainment,2093.13,0
CUST_00457,Blue,455,0,89,15-01-2023,Week-3,Q1,2023,3783.0,0,4383,82,0.0,Chip ,Grocery,1051.92,0
CUST_00458,Silver,395,1,66,15-01-2023,Week-3,Q1,2023,34516.0,0,12920,132,0.0,Chip ,Fuel,3488.4,0
CUST_00462,Blue,295,1,98,15-01-2023,Week-3,Q1,2023,9355.0,715,1138,38,0.076,Swipe ,Fuel,68.28,0
CUST_00463,Blue,320,0,161,15-01-2023,Week-3,Q1,2023,24221.0,1274,3361,63,0.053,Swipe ,Bills,436.93,0
CUST_00466,Blue,270,1,93,15-01-2023,Week-3,Q1,2023,5544.0,1095,3829,55,0.198,Chip ,Fuel,689.22,0
CUST_00468,Blue,95,1,119,15-01-2023,Week-3,Q1,2023,1438.3,0,2207,68,0.0,Swipe ,Bills,154.49,0
CUST_00473,Blue,420,0,78,15-01-2023,Week-3,Q1,2023,1596.0,0,5678,81,0.0,Swipe ,Fuel,1533.06,0
CUST_00474,Blue,440,0,112,15-01-2023,Week-3,Q1,2023,2652.0,1911,4816,79,0.721,Swipe ,Food,385.28,0
CUST_00475,Blue,300,0,92,15-01-2023,Week-3,Q1,2023,2800.0,2517,1994,41,0.899,Swipe ,Bills,458.62,0
CUST_00481,Blue,330,0,77,15-01-2023,Week-3,Q1,2023,3096.0,0,4709,87,0.0,Swipe ,Food,282.54,0
CUST_00484,Blue,200,0,66,15-01-2023,Week-3,Q1,2023,12094.0,0,8607,90,0.0,Online ,Bills,2323.89,0
CUST_00486,Blue,340,0,76,15-01-2023,Week-3,Q1,2023,2648.0,1539,4926,89,0.581,Swipe ,Food,788.16,0
CUST_00488,Blue,385,1,88,15-01-2023,Week-3,Q1,2023,1737.0,0,4723,78,0.0,Online ,Fuel,613.99,0
CUST_00497,Blue,385,1,81,15-01-2023,Week-3,Q1,2023,5956.0,2517,2828,46,0.423,Swipe ,Grocery,565.6,0
CUST_00501,Silver,150,1,80,15-01-2023,Week-3,Q1,2023,34516.0,891,2687,64,0.026,Swipe ,Grocery,671.75,0
CUST_00504,Blue,270,1,91,15-01-2023,Week-3,Q1,2023,21684.0,1748,1329,24,0.081,Swipe ,Bills,172.77,0
CUST_00510,Blue,125,0,96,15-01-2023,Week-3,Q1,2023,4287.0,0,4874,82,0.0,Swipe ,Food,1169.76,0
CUST_00511,Blue,250,1,112,15-01-2023,Week-3,Q1,2023,2149.0,1796,5228,93,0.836,Chip ,Food,941.04,0
CUST_00512,Blue,150,0,105,15-01-2023,Week-3,Q1,2023,21670.0,2183,4121,81,0.101,Swipe ,Grocery,453.31,0
CUST_00514,Blue,175,0,82,15-01-2023,Week-3,Q1,2023,2025.0,1701,4056,71,0.84,Swipe ,Bills,486.72,0
CUST_00519,Blue,200,0,116,15-01-2023,Week-3,Q1,2023,1822.0,1605,2538,39,0.881,Chip ,Bills,228.42,0
CUST_00528,Gold,480,0,109,15-01-2023,Week-3,Q1,2023,34516.0,2517,1727,35,0.073,Swipe ,Entertainment,138.16,0
CUST_00529,Blue,500,0,71,15-01-2023,Week-3,Q1,2023,2218.0,1696,730,20,0.765,Swipe ,Bills,146.0,0
CUST_00533,Blue,140,1,86,15-01-2023,Week-3,Q1,2023,2425.0,0,1522,36,0.0,Chip ,Bills,350.06,0
CUST_00534,Blue,330,0,119,15-01-2023,Week-3,Q1,2023,15795.0,1742,13173,96,0.11,Swipe ,Grocery,2898.06,0
CUST_00539,Blue,250,1,81,15-01-2023,Week-3,Q1,2023,3099.0,0,3622,75,0.0,Online ,Grocery,543.3,0
CUST_00541,Blue,400,1,135,15-01-2023,Week-3,Q1,2023,5824.0,1542,1801,44,0.265,Swipe ,Bills,270.15,0
CUST_00543,Silver,250,1,98,15-01-2023,Week-3,Q1,2023,34516.0,1529,13940,105,0.044,Chip ,Travel,3485.0,0
CUST_00544,Blue,465,1,72,15-01-2023,Week-3,Q1,2023,1773.0,0,1764,30,0.0,Swipe ,Fuel,211.68,0
CUST_00545,Blue,250,0,99,15-01-2023,Week-3,Q1,2023,3125.0,1928,1631,46,0.617,Swipe ,Bills,391.44,0
CUST_00551,Blue,435,1,108,15-01-2023,Week-3,Q1,2023,2178.0,1731,4275,71,0.795,Swipe ,Fuel,427.5,0
CUST_00552,Blue,300,1,103,15-01-2023,Week-3,Q1,2023,9074.0,1648,14084,110,0.182,Online ,Fuel,1549.24,0
CUST_00555,Blue,340,0,91,15-01-2023,Week-3,Q1,2023,2420.0,1422,1362,24,0.588,Swipe ,Entertainment,136.2,0
CUST_00564,Blue,100,1,119,15-01-2023,Week-3,Q1,2023,7469.0,2474,8213,86,0.331,Swipe ,Fuel,903.43,0
CUST_00565,Blue,455,0,112,15-01-2023,Week-3,Q1,2023,9065.0,1548,4030,73,0.171,Online ,Fuel,523.9,0
CUST_00568,Blue,470,1,154,15-01-2023,Week-3,Q1,2023,2024.0,901,4861,84,0.445,Swipe ,Grocery,1215.25,0
CUST_00569,Blue,370,0,143,15-01-2023,Week-3,Q1,2023,1689.0,0,1588,37,0.0,Swipe ,Food,412.88,0
CUST_00577,Blue,290,0,88,15-01-2023,Week-3,Q1,2023,3629.0,2517,14205,102,0.694,Online ,Food,2130.75,0
CUST_00578,Blue,300,1,160,15-01-2023,Week-3,Q1,2023,4283.0,0,8672,64,0.0,Chip ,Travel,780.48,0
CUST_00580,Blue,250,1,77,15-01-2023,Week-3,Q1,2023,10946.0,1912,2448,58,0.175,Swipe ,Food,342.72,0
CUST_00583,Blue,435,1,119,15-01-2023,Week-3,Q1,2023,1872.0,661,4970,81,0.353,Swipe ,Entertainment,347.9,1
CUST_00587,Blue,460,0,93,22-01-2023,Week-4,Q1,2023,9899.0,2023,4579,73,0.204,Swipe ,Entertainment,1282.12,1
CUST_00591,Blue,445,0,144,22-01-2023,Week-4,Q1,2023,1438.3,0,3990,75,0.0,Chip ,Bills,1157.1,1
