Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Car_Owner,House_Owner,Personal_loan,contact,Cust_Satisfaction_Score
CUST_00458,42,M,4,Uneducated,Married,CA,no,no,no,cellular,3
CUST_00462,39,F,2,Unknown,Single,TX,yes,yes,no,cellular,1
CUST_00463,43,F,4,High School,Unknown,NY,no,no,no,cellular,2
CUST_00466,43,F,3,High School,Single,FL,no,yes,no,telephone,2
CUST_00468,45,F,3,High School,Married,TX,yes,no,yes,cellular,2
CUST_00473,45,M,4,Graduate,Single,CA,no,no,no,cellular,1
CUST_00474,47,M,3,Graduate,Single,FL,yes,no,no,cellular,1
CUST_00475,36,F,1,High School,Single,CA,yes,no,no,cellular,2
CUST_00481,47,M,2,High School,Married,NY,yes,yes,yes,cellular,1
CUST_00484,38,M,1,Doctorate,Single,IA,yes,yes,no,cellular,3
CUST_00486,53,M,1,Graduate,Married,TX,yes,yes,yes,cellular,2
CUST_00488,41,M,3,Graduate,Single,NY,no,no,no,cellular,2
CUST_00497,41,F,3,Graduate,Married,NY,no,yes,no,telephone,1
CUST_00501,29,F,1,High School,Single,FL,yes,no,no,unknown,2
CUST_00504,48,F,4,Unknown,Married,FL,yes,no,no,cellular,1
CUST_00510,46,M,2,Doctorate,Single,NJ,no,no,no,cellular,1
CUST_00511,50,M,2,Post-Graduate,Married,TX,no,no,no,cellular,1
CUST_00512,44,F,3,Unknown,Single,TX,no,yes,no,cellular,2
CUST_00514,65,M,0,Unknown,Single,CA,no,no,no,cellular,3
CUST_00519,43,F,3,Uneducated,Single,NY,no,no,no,cellular,3
CUST_00528,50,F,1,Unknown,Single,NY,no,yes,no,unknown,3
CUST_00529,48,F,4,High School,Single,TX,yes,yes,yes,cellular,3
CUST_00533,52,F,2,Graduate,Single,CA,yes,no,no,unknown,1
CUST_00534,41,M,2,Graduate,Single,NY,yes,no,yes,unknown,2
CUST_00539,38,F,2,Doctorate,Single,NY,no,no,no,unknown,3
CUST_00541,48,F,3,Unknown,Single,TX,no,yes,no,cellular,1
CUST_00543,54,F,3,High School,Married,NY,yes,no,no,cellular,1
CUST_00544,54,F,4,Unknown,Married,CA,yes,no,no,cellular,1
CUST_00545,34,F,0,Graduate,Single,TX,yes,yes,no,cellular,2
CUST_00551,47,M,2,High School,Single,TX,no,yes,no,cellular,3
CUST_00552,48,M,3,Uneducated,Married,NJ,yes,no,no,cellular,1
CUST_00555,44,F,4,High School,Married,NJ,no,no,no,cellular,1
CUST_00564,40,M,3,High School,Single,FL,no,yes,yes,cellular,3
CUST_00565,45,F,4,Uneducated,Married,CA,yes,yes,no,cellular,3
CUST_00568,46,M,3,Graduate,Unknown,NY,no,yes,no,cellular,2
CUST_00569,52,F,0,Graduate,Married,NY,yes,yes,no,cellular,2
CUST_00577,33,M,1,Post-Graduate,Married,NJ,yes,no,no,cellular,1
CUST_00578,39,M,3,High School,Single,TX,no,yes,no,unknown,1
CUST_00580,38,F,3,Unknown,Single,NJ,no,yes,no,cellular,1
CUST_00583,42,M,1,Uneducated,Unknown,CA,yes,no,yes,telephone,3
CUST_00587,29,M,1,Unknown,Single,CA,yes,yes,no,cellular,3
CUST_00591,50,F,1,Graduate,Single,NY,no,yes,no,unknown,3
CUST_00592,39,F,2,High School,Married,FL,yes,yes,no,cellular,3
CUST_00593,53,F,3,Uneducated,Married,CA,yes,no,no,cellular,3
CUST_00595,60,M,0,Graduate,Unknown,FL,no,no,no,cellular,2
CUST_00602,38,M,3,Graduate,Married,NJ,no,no,no,cellular,2
CUST_00604,34,F,2,Graduate,Single,CA,yes,yes,yes,cellular,3
CUST_00605,61,M,0,Graduate,Married,CA,yes,no,no,cellular,1
CUST_00606,48,M,3,Graduate,Married,TX,yes,yes,yes,cellular,1
CUST_00612,49,F,5,Uneducated,Married,NY,yes,yes,no,unknown,2
CUST_00614,54,F,3,High School,Married,CA,no,no,no,cellular,1
CUST_00618,41,M,3,Uneducated,Married,NJ,yes,no,no,telephone,2
CUST_00619,61,F,0,High School,Married,TX,no,no,no,cellular,1
CUST_00621,46,F,1,Uneducated,Unknown,NY,no,yes,no,unknown,1
CUST_00622,40,F,4,High School,Married,TX,no,yes,no,cellular,3
CUST_00624,52,F,1,Graduate,Married,TX,yes,no,no,unknown,1
CUST_00625,48,F,2,Graduate,Married,CA,no,no,yes,unknown,3
CUST_00626,53,M,2,Graduate,Single,CA,no,no,no,telephone,2
CUST_00638,62,F,2,Graduate,Married,FL,no,no,no,cellular,1
CUST_00648,49,F,1,High School,Single,TX,yes,no,no,cellular,2
CUST_00649,52,M,2,Graduate,Single,FL,no,no,no,unknown,1
CUST_00654,56,F,3,Graduate,Married,CA,no,yes,no,unknown,1
CUST_00656,50,F,3,Graduate,Single,CO,no,no,no,unknown,3
CUST_00665,56,M,2,High School,Married,CA,yes,no,no,unknown,2
CUST_00669,42,F,4,Graduate,Single,NJ,yes,yes,no,cellular,1
CUST_00674,50,F,2,Graduate,Married,FL,yes,yes,no,cellular,3
CUST_00676,60,F,0,High School,Single,FL,no,no,no,cellular,2
CUST_00677,39,M,3,High School,Married,TX,no,yes,no,cellular,3
CUST_00679,43,F,3,Doctorate,Married,NY,yes,no,yes,cellular,1
CUST_00683,38,F,3,Unknown,Single,NY,yes,no,no,unknown,2
CUST_00684,59,M,0,Graduate,Single,TX,yes,no,no,unknown,3
CUST_00694,51,F,3,Graduate,Single,FL,no,no,no,unknown,2
CUST_00697,40,M,2,Graduate,Married,CA,no,yes,no,cellular,3
CUST_00701,57,F,2,Uneducated,Single,FL,yes,yes,no,unknown,2
CUST_00705,47,F,2,Graduate,Single,TX,no,no,no,cellular,2
CUST_00706,45,M,2,High School,Married,NY,no,yes,yes,cellular,3
CUST_00707,29,F,0,Graduate,Married,CA,no,yes,no,unknown,2
CUST_00709,47,F,5,Unknown,Married,CA,yes,no,no,cellular,2
CUST_00711,45,F,2,Graduate,Married,CA,no,no,no,unknown,3
CUST_00712,44,F,4,Unknown,Married,CA,yes,no,no,cellular,3
CUST_00713,61,F,1,Graduate,Married,CA,no,yes,no,cellular,2
CUST_00714,45,F,4,Graduate,Married,AR,no,no,no,unknown,2
CUST_00716,48,F,5,Graduate,Single,NY,yes,no,no,cellular,2
CUST_00719,40,F,1,High School,Married,NJ,no,no,no,unknown,2
CUST_00723,59,M,0,High School,Single,NY,no,no,no,cellular,2
CUST_00725,44,F,3,Graduate,Unknown,CA,no,yes,yes,cellular,2
CUST_00731,55,F,1,Graduate,Single,NJ,yes,no,no,cellular,3
CUST_00734,45,F,3,Graduate,Married,NY,yes,yes,no,unknown,2
CUST_00736,37,M,4,Uneducated,Married,FL,no,yes,no,cellular,2
CUST_00737,42,M,3,Uneducated,Single,NY,no,no,no,cellular,2
CUST_00739,49,F,3,Graduate,Married,NY,yes,no,no,cellular,2
CUST_00743,54,M,2,Uneducated,Married,FL,no,yes,no,cellular,3
CUST_00744,65,F,0,Unknown,Single,NY,no,yes,no,cellular,3
CUST_00745,51,M,4,High School,Married,NY,no,no,no,cellular,2
CUST_00746,48,M,5,High School,Married,IL,yes,no,no,cellular,2
CUST_00748,48,M,4,High School,Single,NY,no,yes,no,cellular,2
CUST_00749,53,M,4,Graduate,Single,TX,no,yes,no,cellular,3
CUST_00750,48,F,1,Unknown,Single,CA,yes,yes,no,cellular,3
CUST_00754,44,F,2,Uneducated,Married,TX,yes,yes,no,cellular,2
CUST_00755,39,M,4,Uneducated,Married,CA,yes,no,no,telephone,3
CUST_00759,63,M,1,Graduate,Single,CA,no,no,no,cellular,2
CUST_00762,45,M,3,Graduate,Married,FL,yes,no,no,cellular,3
CUST_00764,40,F,4,Graduate,Married,NY,no,yes,no,telephone,2
CUST_00765,53,F,2,Graduate,Married,CA,no,yes,no,cellular,2
CUST_00766,45,M,4,Graduate,Married,WA,yes,no,no,cellular,2
CUST_00767,54,M,4,Unknown,Married,CA,no,yes,no,cellular,3
CUST_00775,38,M,3,High School,Single,NJ,no,no,no,unknown,3
CUST_00778,54,M,1,High School,Married,TX,yes,no,no,cellular,2
CUST_00780,59,F,1,Graduate,Single,NY,no,yes,no,cellular,2
CUST_00783,51,F,3,Unknown,Married,CA,yes,no,no,cellular,2
CUST_00790,30,F,1,Graduate,Single,TX,no,no,no,cellular,2
CUST_00793,40,F,2,Uneducated,Single,CA,no,yes,no,cellular,2
CUST_00795,54,F,1,Graduate,Married,FL,yes,yes,no,unknown,2
CUST_00796,65,F,0,Graduate,Unknown,NY,no,no,no,unknown,2
CUST_00800,35,M,2,Graduate,Married,TX,yes,no,no,cellular,3
CUST_00810,58,F,0,Graduate,Married,CA,no,yes,yes,cellular,2
CUST_00811,43,M,3,Unknown,Married,CA,no,yes,yes,cellular,2
CUST_00812,55,F,3,Uneducated,Single,TX,no,no,no,cellular,2
CUST_00813,58,F,3,High School,Married,NY,no,yes,no,telephone,3
CUST_00822,48,M,2,High School,Married,NY,no,no,no,cellular,2
CUST_00829,56,F,1,High School,Single,CA,no,no,no,unknown,2
CUST_00832,52,M,0,Unknown,Married,TX,yes,no,no,cellular,3
CUST_00834,52,M,3,Graduate,Married,NY,no,no,no,cellular,3
CUST_00835,47,F,3,Uneducated,Single,TX,yes,yes,yes,cellular,2
CUST_00836,47,F,4,Unknown,Single,FL,yes,yes,yes,cellular,1
CUST_00838,48,F,3,Uneducated,Single,NJ,no,no,no,cellular,2
CUST_00842,44,F,3,Graduate,Married,NY,yes,yes,no,unknown,2
CUST_00851,30,M,1,Unknown,Single,NJ,yes,no,no,cellular,3
CUST_00853,45,F,5,Graduate,Married,NY,no,yes,no,cellular,2
CUST_00857,29,F,2,Uneducated,Single,NJ,no,no,no,unknown,3
CUST_00859,42,F,3,Unknown,Married,NJ,no,yes,no,cellular,2
CUST_00863,29,M,1,Uneducated,Married,TX,no,no,no,cellular,1
CUST_00867,32,M,1,High School,Single,HI,yes,yes,no,cellular,2
CUST_00869,54,F,2,High School,Single,NY,yes,no,no,cellular,2
CUST_00872,36,F,2,Unknown,Unknown,TX,yes,no,no,cellular,1
CUST_00873,56,F,1,Graduate,Married,PA,no,yes,no,cellular,1
CUST_00878,33,F,1,Graduate,Married,FL,yes,yes,no,unknown,3
CUST_00880,49,M,2,Post-Graduate,Married,NY,yes,yes,no,cellular,2
CUST_00881,44,M,4,Unknown,Single,CA,yes,yes,no,cellular,1
CUST_00884,41,M,3,Doctorate,Single,TX,yes,no,no,cellular,3
CUST_00907,57,M,2,Graduate,Unknown,NY,no,no,no,cellular,1
CUST_00909,42,F,3,Uneducated,Single,CA,yes,yes,no,cellular,3
CUST_00915,46,M,3,Uneducated,Married,NY,no,no,yes,telephone,2
CUST_00922,38,M,2,High School,Married,NY,yes,no,no,cellular,1
CUST_00928,57,F,2,Graduate,Married,FL,no,no,no,cellular,1
CUST_00933,45,M,2,Uneducated,Unknown,NJ,no,no,no,cellular,1
CUST_00935,27,F,0,Unknown,Single,CA,yes,yes,no,cellular,1
CUST_00941,49,M,2,High School,Married,NY,no,no,no,cellular,2
CUST_00948,36,M,2,Graduate,Single,CA,yes,no,no,cellular,3
CUST_00953,38,F,1,High School,Unknown,MO,yes,no,no,unknown,2
CUST_00958,42,F,2,Unknown,Married,TX,yes,yes,no,cellular,3
CUST_00959,48,M,2,High School,Single,CA,no,no,no,cellular,1
CUST_00961,55,F,3,Post-Graduate,Unknown,TX,no,no,yes,cellular,3
CUST_00965,54,M,2,High School,Married,CA,no,no,no,cellular,2
CUST_00966,49,F,0,Graduate,Married,TX,no,yes,no,unknown,1
CUST_00968,47,M,1,Graduate,Married,TX,no,no,no,cellular,1
CUST_00971,42,M,3,Graduate,Single,FL,yes,no,no,cellular,2
CUST_00972,41,M,5,Unknown,Unknown,GA,yes,no,no,unknown,1
CUST_00983,49,M,2,Doctorate,Single,CA,no,no,yes,cellular,2
CUST_00994,54,F,1,Graduate,Married,TX,yes,yes,yes,cellular,2
CUST_00995,51,F,2,Unknown,Married,TX,no,no,no,cellular,2
CUST_00998,59,M,0,Unknown,Married,NJ,no,no,no,telephone,1
CUST_01003,47,F,4,Unknown,Single,TX,no,yes,no,unknown,1
CUST_01006,51,F,0,Doctorate,Married,TX,no,no,no,cellular,2
CUST_01010,36,M,4,Graduate,Married,CA,no,no,yes,cellular,2
CUST_01011,57,M,2,Unknown,Single,IA,yes,yes,no,cellular,3
CUST_01018,51,M,3,High School,Single,CA,no,no,no,cellular,3
CUST_01019,23,M,3,Graduate,Single,NY,yes,no,yes,cellular,3
CUST_01021,39,M,1,High School,Single,TX,no,yes,yes,cellular,1
CUST_01023,55,F,1,Uneducated,Unknown,TX,yes,no,no,unknown,3
CUST_01027,47,M,1,High School,Married,FL,no,no,yes,unknown,2
CUST_01028,53,M,1,Graduate,Single,TX,no,yes,no,cellular,1
CUST_01035,56,F,3,High School,Married,CA,yes,no,no,unknown,2
CUST_01039,37,M,3,Uneducated,Unknown,NY,yes,no,no,cellular,2
CUST_01043,50,F,3,High School,Married,NY,no,no,yes,cellular,3
CUST_01045,40,M,5,High School,Single,NY,yes,yes,yes,cellular,3
CUST_01047,53,M,2,Graduate,Single,CA,no,yes,no,cellular,2
CUST_01053,40,M,2,Graduate,Married,CA,yes,yes,no,cellular,2
CUST_01054,50,M,3,High School,Married,FL,yes,no,no,cellular,2
CUST_01056,52,F,4,Graduate,Unknown,FL,no,yes,no,cellular,2
CUST_01057,47,F,4,Post-Graduate,Single,CA,no,yes,no,cellular,2
CUST_01058,45,F,2,High School,Single,TX,no,no,no,unknown,2
CUST_01062,48,F,2,High School,Married,CA,no,yes,yes,cellular,2
CUST_01069,51,M,1,High School,Single,FL,no,no,no,unknown,2
CUST_01072,56,F,1,Uneducated,Married,PA,no,no,no,cellular,3
CUST_01076,42,M,4,Doctorate,Married,FL,no,no,no,cellular,2
CUST_01077,41,F,0,High School,Married,TX,no,no,no,telephone,2
CUST_01079,42,M,4,Uneducated,Married,NY,no,no,no,cellular,2
CUST_01085,49,F,4,Unknown,Single,FL,no,yes,no,cellular,2
CUST_01088,52,M,4,Graduate,Single,TX,yes,no,no,cellular,2
CUST_01091,60,F,0,Uneducated,Married,NY,yes,no,no,cellular,3
CUST_01096,52,M,2,Post-Graduate,Single,FL,no,yes,no,cellular,1
CUST_01102,55,M,2,High School,Married,MO,no,yes,no,cellular,1
CUST_01104,50,F,1,Unknown,Single,FL,no,yes,no,cellular,2
CUST_01108,40,F,4,Uneducated,Married,TX,no,no,yes,cellular,2
CUST_01110,51,M,1,Unknown,Single,CA,no,no,no,unknown,1
CUST_01112,40,F,4,Unknown,Single,CA,no,no,no,unknown,1
CUST_01113,39,F,1,Graduate,Single,TX,yes,yes,no,cellular,3
CUST_01114,53,F,3,Graduate,Married,CO,yes,yes,no,cellular,3
CUST_01116,55,F,0,Graduate,Single,TX,yes,no,yes,cellular,3
CUST_01122,30,M,0,Graduate,Married,FL,yes,no,no,cellular,1
CUST_01124,33,F,2,Doctorate,Unknown,TX,no,no,no,unknown,3
CUST_01127,46,F,3,Graduate,Married,CA,no,yes,yes,cellular,1
CUST_01128,50,M,4,Graduate,Married,FL,yes,no,no,cellular,3
CUST_01140,48,M,3,High School,Unknown,FL,no,no,no,cellular,3
CUST_01143,48,M,4,Unknown,Single,NY,no,yes,no,cellular,3
CUST_01145,49,M,5,Graduate,Married,TX,no,yes,no,cellular,3
CUST_01146,54,F,2,Uneducated,Single,CA,no,yes,no,cellular,3
CUST_01148,41,M,2,Graduate,Married,NY,no,yes,no,cellular,1
CUST_01150,38,F,2,Graduate,Single,TX,no,no,no,cellular,3
CUST_01154,57,F,1,High School,Single,CA,no,yes,no,unknown,2
CUST_01156,48,F,3,Graduate,Single,CA,no,no,no,cellular,2
CUST_01157,44,M,3,Post-Graduate,Married,FL,yes,no,no,telephone,1
CUST_01163,43,M,2,High School,Married,NY,no,yes,yes,unknown,2
CUST_01169,34,M,3,Post-Graduate,Unknown,CA,yes,yes,no,cellular,2
CUST_01176,55,M,2,Unknown,Single,NY,no,yes,no,cellular,1
